name|effect
Icy Rock|A Pokémon held item that extends the duration of the move Hail used by the holder.|
Insect Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Bug-type moves.|
Iron Ball|A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.|
Iron Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Steel-type moves.|
King's Rock|An item to be held by a Pokémon. When the holder inflicts damage, the target may flinch.|
Lagging Tail|An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.|
Lax Incense|An item to be held by a Pokémon. The tricky aroma of this incense may make attacks miss the holder.|
Leftovers|An item to be held by a Pokémon. The holder's HP is gradually restored during battle.|
Life Orb|An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit.|
Light Ball|An item to be held by Pikachu. It is a puzzling orb that raises the Attack and Sp. Atk stat.|
Light Clay|A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.|
Luck Incense|An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.|
Lucky Egg|An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.|
Lucky Punch|An item to be held by Chansey. It is a pair of gloves that boosts Chansey's critical-hit ratio.|
Luminous Moss|An item to be held by a PokÃ©mon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.|
Lustrous Orb|A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves.|
Macho Brace|An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.|
Magmarizer|A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.|
Magnet|An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves.|
Meadow Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Grass-type moves.|
Mental Herb|An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.|
Metal Coat|An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves.|
Metal Powder|An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat.|
Metronome|A Pokémon held item that boosts a move used consecutively. Its effect is reset if another move is used.|
Mind Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Psychic-type moves.|
Miracle Seed|An item to be held by a Pokémon. It is a seed imbued with life that ups the power of Grass-type moves.|
Muscle Band|An item to be held by a Pokémon. It is a headband that slightly boosts the power of physical moves.|
Mystic Water|An item to be held by a Pokémon. It is a teardrop-shaped gem that ups the power of Water-type moves.|
NeverMeltIce|An item to be held by a Pokémon. It is a piece of ice that repels heat and boosts Ice-type moves.|
Normal Gem|A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move only once.|
Odd Incense|An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Psychic-type moves.|
Pink Bow|Powers up normal-type moves.|
Pink Scarf|An item to be held by a Pokémon. It boosts the Cute aspect of the holder in a Contest.|
Pixie Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fairy-type moves|
Poison Barb|An item to be held by a Pokémon. It is a small, poisonous barb that ups the power of Poison-type moves.|
Poison Gem|A gem with an essence of poison. When held, it strengthens the power of a Poison-type move only once.|
Polkadot Bow|Powers up normal-type moves.|
Power Anklet|A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.|
Power Band|A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.|
Power Belt|A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.|
Power Bracer|A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.|
Power Herb|A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.|
Power Lens|A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.|
Power Weight|A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.|
Protector|A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.|
Psychic Gem|A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move only once.|
Pure Incense|An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.|
Quick Claw|An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.|
Quick Powder|An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat.|
Razor Claw|An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio.|
Razor Fang|An item to be held by a Pokémon. It may make foes and allies flinch when the holder inflicts damage.|
Reaper Cloth|A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.|
Red Card|A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.|
Red Scarf|An item to be held by a Pokémon. It boosts the Cool aspect of the holder in a Contest.|
Ring Target|Moves that would otherwise have no effect will land on the Pokémon that holds it.|
Rock Gem|A gem with an essence of rock. When held, it strengthens the power of a Rock-type move only once.|
Rock Incense|An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Rock-type moves.|
Rocky Helmet|If the holder of this item takes damage, the attacker will also be damaged upon contact.|
Rose Incense|An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Grass-type moves.|
Safety Goggles|An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.|
Scope Lens|An item to be held by a Pokémon. It is a lens that boosts the holder's critical-hit ratio.|
Sea Incense|An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves.|
Sharp Beak|An item to be held by a Pokémon. It is a long, sharp beak that boosts the power of Flying-type moves.|
Shed Shell|A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.|
Shell Bell|An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.|
Shock Drive|A cassette to be held by Genesect. It changes Techno Blast to an Electric-type move.|
Silk Scarf|An item to be held by a Pokémon. It is a sumptuous scarf that boosts the power of Normal-type moves.|
SilverPowder|An item to be held by a Pokémon. It is a shiny, silver powder that ups the power of Bug-type moves.|
Sky Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Flying-type moves.|
Smoke Ball|An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.|
Smooth Rock|A Pokémon held item that extends the duration of the move Sandstorm used by the holder.|
Snowball|An item to be held by a PokÃ©mon. It boosts Attack if hit with an Ice-type attack. It can only be used once.|
Soft Sand|An item to be held by a Pokémon. It is a loose, silky sand that boosts the power of Ground-type moves.|
Soothe Bell|An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.|
Soul Dew|A wondrous orb to be held by Latios or Latias. It raises both the Sp. Atk and Sp. Def stats.|
Spell Tag|An item to be held by a Pokémon. It is a sinister, eerie tag that boosts the power of Ghost-type moves.|
Splash Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Water-type moves.|
Spooky Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ghost-type moves.|
Steel Gem|A gem with an essence of steel. When held, it strengthens the power of a Steel-type move only once.|
Stick|An item to be held by Farfetch'd. It is a very long and stiff stalk of leek that boosts the critical-hit ratio.|
Sticky Barb|A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.|
Stone Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Rock-type moves.|
Thick Club|An item to be held by Cubone or Marowak. It is a hard bone of some sort that boosts the Attack stat.|
Toxic Orb|An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.|
Toxic Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Poison-type moves.|
TwistedSpoon|An item to be held by a Pokémon. It is a spoon imbued with telekinetic power that boosts Psychic-type moves.|
Water Gem|A gem with an essence of water. When held, it strengthens the power of a Water-type move only once.|
Wave Incense|An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves.|
Weakness Policy|An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it's weak to.|
White Herb|An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.|
Wide Lens|An item to be held by a Pokémon. It is a magnifying lens that slightly boosts the accuracy of moves.|
Wise Glasses|An item to be held by a Pokémon. It is a thick pair of glasses that slightly boosts the power of special moves.|
Yellow Scarf|An item to be held by a Pokémon. It boosts the Tough aspect of the holder in a Contest.|
Zap Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Electric-type moves.|
Zoom Lens|An item to be held by a Pokémon. If the holder moves after its target, its accuracy will be boosted.|
